case,file,samples,mode,width,height,target_fps,infer_skip,model_complexity,max_num_hands,video_enabled,jpeg_quality,temp_c_mean,temp_c_max,throttled_seen,throttled_current_seen,throttled_historical_seen,throttled_current_flags,throttled_historical_flags,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,cpu_percent,memory_mb,temp_c,area,scale,motion,clients,hand_detected,landmark_count,pinch_distance
opencv_csi_320x240_30fps_mjpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_csi\opencv_csi_320x240_30fps_mjpeg70.csv,15,opencv,320,240,30.0,3,0,1,True,70,50.35333333333333,51.5,True,False,True,,"throttled_seen,under_voltage_seen",28.9712,28.9712,0.0,28.9712,28.9712,0.5544,8.672666666666666,2.9313333333333333,3.9730666666666665,16.273266666666668,36.17333333333333,49.306666666666665,50.35333333333333,159.83766666666668,0.6048666666666667,0.0356,0.0,0.0,0.0,0.0
hybrid_csi_320x240_30fps_skip10_trial1_mjpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_csi\run_013_csi_320x240_30fps_full_3trials\hybrid_csi_320x240_30fps_skip10_trial1_mjpeg70.csv,15,hybrid,320,240,30.0,10,0,1,True,70,54.06,54.8,True,False,True,,"soft_temp_limit_seen,throttled_seen,under_voltage_seen",19.226466666666667,19.226466666666667,1.9198,19.226466666666667,19.226466666666667,0.5813999999999999,8.903533333333334,18.0314,3.9573333333333336,34.425666666666665,33.86666666666667,128.69333333333333,54.06,164.10086666666666,0.603,0.0626,0.0,0.0,0.0,0.0
hybrid_csi_320x240_30fps_skip10_trial2_mjpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_csi\run_013_csi_320x240_30fps_full_3trials\hybrid_csi_320x240_30fps_skip10_trial2_mjpeg70.csv,14,hybrid,320,240,30.0,10,0,1,True,70,54.93571428571428,55.8,True,False,True,,"soft_temp_limit_seen,throttled_seen,under_voltage_seen",19.038999999999998,19.038999999999998,1.8927857142857143,19.038999999999998,19.038999999999998,0.5992857142857143,8.489785714285714,17.850214285714287,3.995214285714286,33.90878571428571,34.114285714285714,131.1642857142857,54.93571428571428,74.09328571428571,0.6007857142857143,0.02457142857142857,0.0,0.0,0.0,0.0
hybrid_csi_320x240_30fps_skip10_trial3_mjpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_csi\run_013_csi_320x240_30fps_full_3trials\hybrid_csi_320x240_30fps_skip10_trial3_mjpeg70.csv,15,hybrid,320,240,30.0,10,0,1,True,70,55.5,55.8,True,False,True,,"soft_temp_limit_seen,throttled_seen,under_voltage_seen",19.456666666666667,19.456666666666667,1.9333333333333333,19.456666666666667,19.456666666666667,0.61,8.557666666666666,15.356533333333333,4.018133333333333,31.1366,34.160000000000004,130.84,55.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0
hybrid_csi_320x240_30fps_skip15_trial1_mjpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_csi\run_013_csi_320x240_30fps_full_3trials\hybrid_csi_320x240_30fps_skip15_trial1_mjpeg70.csv,15,hybrid,320,240,30.0,15,0,1,True,70,51.06,52.1,True,False,True,,"soft_temp_limit_seen,throttled_seen,under_voltage_seen",21.958866666666665,21.958866666666665,1.4686,21.958866666666665,21.958866666666665,0.602,8.769533333333333,11.751866666666666,3.9958,26.750799999999998,34.6,125.88,51.06,98.80753333333334,0.6038,0.034666666666666665,0.0,0.0,0.0,0.0
hybrid_csi_320x240_30fps_skip15_trial2_mjpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_csi\run_013_csi_320x240_30fps_full_3trials\hybrid_csi_320x240_30fps_skip15_trial2_mjpeg70.csv,15,hybrid,320,240,30.0,15,0,1,True,70,52.620000000000005,53.7,True,False,True,,"soft_temp_limit_seen,throttled_seen,under_voltage_seen",22.439266666666665,22.439266666666665,1.4968,22.439266666666665,22.439266666666665,0.5984666666666666,8.758866666666666,11.9174,3.991,26.939266666666665,34.86,127.8,52.620000000000005,0.0,0.6,0.0,0.0,0.0,0.0,0.0
hybrid_csi_320x240_30fps_skip15_trial3_mjpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_csi\run_013_csi_320x240_30fps_full_3trials\hybrid_csi_320x240_30fps_skip15_trial3_mjpeg70.csv,14,hybrid,320,240,30.0,15,0,1,True,70,53.43571428571429,53.7,True,False,True,,"soft_temp_limit_seen,throttled_seen,under_voltage_seen",22.357857142857142,22.357857142857142,1.5169285714285714,22.357857142857142,22.357857142857142,0.5830714285714286,8.7845,11.612714285714286,3.998357142857143,26.635571428571428,34.392857142857146,126.01428571428572,53.43571428571429,0.0,0.6,0.0,0.0,0.0,0.0,0.0
hybrid_csi_320x240_30fps_skip1_trial1_mjpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_csi\run_013_csi_320x240_30fps_full_3trials\hybrid_csi_320x240_30fps_skip1_trial1_mjpeg70.csv,15,hybrid,320,240,30.0,1,0,1,True,70,58.54,59.1,True,False,True,,"soft_temp_limit_seen,throttled_seen,under_voltage_seen",4.5722,4.5722,4.5722,4.5722,4.5722,0.6380666666666667,5.1272,89.70293333333333,3.9244,194.43626666666665,29.873333333333335,131.22,58.54,103.47626666666666,0.6,0.013333333333333334,0.0,0.0,0.0,0.0
hybrid_csi_320x240_30fps_skip1_trial2_mjpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_csi\run_013_csi_320x240_30fps_full_3trials\hybrid_csi_320x240_30fps_skip1_trial2_mjpeg70.csv,15,hybrid,320,240,30.0,1,0,1,True,70,58.07333333333333,59.1,True,True,True,"throttled_now,under_voltage_now","soft_temp_limit_seen,throttled_seen,under_voltage_seen",4.610733333333333,4.610733333333333,4.610733333333333,4.610733333333333,4.610733333333333,0.6802666666666667,6.669733333333333,91.75826666666667,4.784866666666667,202.5566,30.166666666666668,131.52,58.07333333333333,168.57366666666667,0.6018666666666667,0.0362,0.0,0.0,0.0,0.0
hybrid_csi_320x240_30fps_skip1_trial3_mjpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_csi\run_013_csi_320x240_30fps_full_3trials\hybrid_csi_320x240_30fps_skip1_trial3_mjpeg70.csv,15,hybrid,320,240,30.0,1,0,1,True,70,57.13333333333333,58.0,True,True,True,"throttled_now,under_voltage_now","soft_temp_limit_seen,throttled_seen,under_voltage_seen",2.997,2.997,2.997,2.997,2.997,0.7430666666666667,6.988466666666667,151.1496,5.471733333333334,322.7649333333333,29.286666666666665,131.40666666666667,57.13333333333333,159.19386666666668,0.6008,0.08333333333333333,0.0,0.0,0.0,0.0
