case,file,samples,mode,width,height,target_fps,infer_skip,model_complexity,max_num_hands,video_enabled,jpeg_quality,temp_c_mean,temp_c_max,throttled_seen,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,cpu_percent,memory_mb,temp_c,area,scale,motion,clients,hand_detected,landmark_count,pinch_distance
opencv_usb_160x120_5fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_005_usb_strong_light_pfl0\opencv_usb_160x120_5fps.csv,10,opencv,160,120,5.0,3,0,1,False,70,46.14,46.2,False,4.3307,4.3307,0.0,4.3307,0.0,0.8546,5.6451,1.9630999999999998,0.0,8.6326,8.08,47.6,46.14,5398.6808,0.9056,0.6067,0.0,0.0,0.0,0.0
opencv_usb_320x240_10fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_005_usb_strong_light_pfl0\opencv_usb_320x240_10fps.csv,9,opencv,320,240,10.0,3,0,1,False,70,47.51111111111111,48.3,False,9.768777777777778,9.768777777777778,0.0,9.768777777777778,0.0,0.9422222222222222,11.594555555555555,4.266222222222222,0.0,16.964333333333332,18.344444444444445,49.144444444444446,47.51111111111111,7660.538888888889,0.8864444444444445,0.37777777777777777,0.0,0.0,0.0,0.0
opencv_usb_320x240_5fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_005_usb_strong_light_pfl0\opencv_usb_320x240_5fps.csv,9,opencv,320,240,5.0,3,0,1,False,70,46.86666666666667,47.2,False,4.5328888888888885,4.5328888888888885,0.0,4.5328888888888885,0.0,1.3451111111111111,15.859222222222224,5.198888888888889,0.0,22.594555555555555,13.666666666666666,48.87777777777778,46.86666666666667,10477.138888888889,0.9655555555555555,0.4147777777777778,0.0,0.0,0.0,0.0
opencv_usb_480x360_10fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_005_usb_strong_light_pfl0\opencv_usb_480x360_10fps.csv,9,opencv,480,360,10.0,3,0,1,False,70,48.37777777777777,48.9,False,9.808444444444444,9.808444444444444,0.0,9.808444444444444,0.0,1.149888888888889,13.918111111111111,4.743888888888889,0.0,19.96677777777778,22.844444444444445,49.37777777777778,48.37777777777777,809.6555555555556,0.6012222222222222,0.13333333333333333,0.0,0.0,0.0,0.0
opencv_usb_640x480_10fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_005_usb_strong_light_pfl0\opencv_usb_640x480_10fps.csv,9,opencv,640,480,10.0,3,0,1,False,70,51.666666666666664,52.6,False,9.458333333333332,9.458333333333332,0.0,9.458333333333332,0.0,3.8414444444444444,34.30744444444444,11.796444444444445,0.0,50.349333333333334,45.62222222222222,52.06666666666667,51.666666666666664,29754.405555555553,1.3136666666666668,0.8666666666666667,0.0,0.0,0.0,0.0
opencv_usb_640x480_10fps_jpeg50,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_005_usb_strong_light_pfl0\opencv_usb_640x480_10fps_jpeg50.csv,10,opencv,640,480,10.0,3,0,1,True,50,56.81,57.5,True,9.789,9.789,0.0,9.789,9.789,3.738,33.4617,11.369,14.601,63.5929,47.339999999999996,52.71,56.81,11514.355,1.1451,1.0,0.0,0.0,0.0,0.0
opencv_usb_640x480_10fps_jpeg70,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_005_usb_strong_light_pfl0\opencv_usb_640x480_10fps_jpeg70.csv,10,opencv,640,480,10.0,3,0,1,True,70,56.699999999999996,56.9,True,9.7055,9.7055,0.0,9.7055,9.7055,3.6649,32.269800000000004,11.8261,14.8662,63.0484,46.58,52.68,56.699999999999996,48189.6261,1.5236,1.0,0.0,0.0,0.0,0.0
opencv_usb_640x480_10fps_jpeg90,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_005_usb_strong_light_pfl0\opencv_usb_640x480_10fps_jpeg90.csv,10,opencv,640,480,10.0,3,0,1,True,90,56.629999999999995,56.9,True,9.6072,9.6072,0.0,9.6072,9.6072,3.7569,32.5629,12.5201,15.7163,64.9822,47.51,52.78,56.629999999999995,41014.0664,1.3033,0.89,0.0,0.0,0.0,0.0
opencv_usb_640x480_15fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_005_usb_strong_light_pfl0\opencv_usb_640x480_15fps.csv,10,opencv,640,480,15.0,3,0,1,False,70,55.24,56.4,False,14.2815,14.2815,0.0,14.2815,0.0,3.6946,32.612,11.5213,0.0,48.2185,63.61,52.26,55.24,24582.1245,1.7404,1.0,0.0,0.0,0.0,0.0
opencv_usb_640x480_30fps,D:\Yhx06\Documents\全栈学习模板\个人博客网站\personal-blog\threejs-handtracking-101\perf_results_usb\run_005_usb_strong_light_pfl0\opencv_usb_640x480_30fps.csv,10,opencv,640,480,30.0,3,0,1,False,70,58.32,59.6,True,19.4213,19.4213,0.0,19.4213,0.0,4.0607,33.0693,11.7351,0.0,49.2577,83.72,52.35,58.32,25421.3232,1.5684,0.9624,0.0,0.0,0.0,0.0
