timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,temp_c,throttled_raw,throttled_flags,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781679079.166,1,0,320,240,30.0,opencv,3,0,1,70,True,29.878,29.878,0.0,29.878,29.878,34.1,49.0,48.3,0x50000,throttled,0.567,8.715,2.984,4.129,16.532,0.0,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679080.188,2,0,320,240,30.0,opencv,3,0,1,70,True,29.223,29.223,0.0,29.223,29.223,34.6,49.1,49.4,0x50000,throttled,0.535,8.469,3.059,3.938,16.145,1968.75,0.673,0.5,0,240x320x3,0,0.0,0.0,
1781679081.177,3,0,320,240,30.0,opencv,3,0,1,70,True,28.575,28.575,0.0,28.575,28.575,34.3,49.1,49.9,0x50000,throttled,0.511,8.405,3.002,3.96,16.014,308.0,0.6,0.034,0,240x320x3,0,0.0,0.0,
1781679082.166,4,0,320,240,30.0,opencv,3,0,1,70,True,28.873,28.873,0.0,28.873,28.873,34.2,49.1,49.4,0x50000,throttled,0.522,8.469,2.924,3.962,16.009,0.0,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679083.206,5,0,320,240,30.0,opencv,3,0,1,70,True,29.068,29.068,0.0,29.068,29.068,35.7,49.3,49.4,0x50000,throttled,0.532,8.597,2.975,4.072,16.321,0.0,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679084.162,6,0,320,240,30.0,opencv,3,0,1,70,True,27.98,27.98,0.0,27.98,27.98,34.6,49.4,49.4,0x50000,throttled,0.57,8.472,2.909,3.956,16.05,19.143,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679085.185,7,0,320,240,30.0,opencv,3,0,1,70,True,29.329,29.329,0.0,29.329,29.329,35.8,49.4,50.5,0x50000,throttled,0.56,8.67,2.911,3.99,16.273,0.0,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679086.173,8,0,320,240,30.0,opencv,3,0,1,70,True,28.674,28.674,0.0,28.674,28.674,42.3,49.4,50.5,0x50000,throttled,0.552,9.255,2.82,3.834,16.606,4.931,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679087.162,9,0,320,240,30.0,opencv,3,0,1,70,True,29.0,29.0,0.0,29.0,29.0,42.0,49.4,51.5,0x50000,throttled,0.566,9.161,2.812,3.835,16.514,1.621,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679088.184,10,0,320,240,30.0,opencv,3,0,1,70,True,29.342,29.342,0.0,29.342,29.342,39.1,49.4,51.0,0x50000,throttled,0.567,9.159,2.823,3.849,16.543,1.517,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679089.173,11,0,320,240,30.0,opencv,3,0,1,70,True,28.673,28.673,0.0,28.673,28.673,34.5,49.4,51.5,0x50000,throttled,0.554,8.447,2.917,3.988,16.048,0.0,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679090.162,12,0,320,240,30.0,opencv,3,0,1,70,True,28.983,28.983,0.0,28.983,28.983,36.4,49.4,50.5,0x50000,throttled,0.576,8.812,3.023,4.128,16.685,1.31,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679091.185,13,0,320,240,30.0,opencv,3,0,1,70,True,29.328,29.328,0.0,29.328,29.328,35.1,49.4,51.5,0x50000,throttled,0.566,8.462,2.911,3.994,16.076,0.0,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679092.173,14,0,320,240,30.0,opencv,3,0,1,70,True,28.658,28.658,0.0,28.658,28.658,34.9,49.4,51.5,0x50000,throttled,0.553,8.513,2.982,3.988,16.178,89.31,0.6,0.0,0,240x320x3,0,0.0,0.0,
1781679093.162,15,0,320,240,30.0,opencv,3,0,1,70,True,28.984,28.984,0.0,28.984,28.984,35.0,49.4,51.0,0x50000,throttled,0.585,8.484,2.918,3.973,16.105,2.983,0.6,0.0,0,240x320x3,0,0.0,0.0,
