timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,temp_c,throttled_raw,throttled_flags,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781684892.153,1,0,320,240,30.0,hybrid,3,0,1,70,True,8.471,8.471,2.824,8.471,8.471,29.7,131.1,56.9,0xd0000,throttled,0.648,7.933,55.133,4.183,89.092,4.111,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684893.217,2,0,320,240,30.0,hybrid,3,0,1,70,True,10.635,10.635,3.545,10.635,10.635,30.2,130.9,56.9,0xd0000,throttled,0.603,6.798,44.285,3.85,72.748,11.917,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684894.161,3,0,320,240,30.0,hybrid,3,0,1,70,True,8.4,8.4,2.8,8.4,8.4,29.2,131.3,56.9,0xd0000,throttled,0.593,6.387,55.236,3.852,86.787,136.056,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684895.274,4,0,320,240,30.0,hybrid,3,0,1,70,True,7.594,7.594,2.531,7.594,7.594,29.1,131.4,56.9,0xd0000,throttled,0.599,6.609,69.112,3.833,105.576,429.333,0.611,0.222,0,240x320x3,0.0,0,0.0,
1781684896.365,5,0,320,240,30.0,hybrid,3,0,1,70,True,7.052,7.052,2.351,7.052,7.052,29.0,131.2,57.5,0xd0000,throttled,0.634,6.329,67.56,3.844,103.192,226.167,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684897.102,6,0,320,240,30.0,hybrid,3,0,1,70,True,5.924,5.924,1.975,5.924,5.924,29.9,131.5,56.9,0xd0000,throttled,0.641,8.718,65.578,3.86,103.74,28.75,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684898.219,7,0,320,240,30.0,hybrid,3,0,1,70,True,8.026,8.026,2.675,8.026,8.026,35.4,131.6,58.0,0xd0000,throttled,0.614,9.297,67.985,3.848,107.713,5.889,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684899.307,8,0,320,240,30.0,hybrid,3,0,1,70,True,7.389,7.389,2.463,7.389,7.389,36.3,131.6,57.5,0xd0000,throttled,0.659,10.106,66.223,4.082,106.694,13.833,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684900.092,9,0,320,240,30.0,hybrid,3,0,1,70,True,7.98,7.98,1.995,7.98,7.98,31.5,131.4,58.0,0xd0000,throttled,0.629,8.231,52.936,3.857,81.119,3.375,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684901.116,10,0,320,240,30.0,hybrid,3,0,1,70,True,6.814,6.814,2.92,6.814,6.814,29.5,131.6,56.9,0xd0000,throttled,0.608,6.833,80.265,4.141,129.359,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684902.215,11,0,320,240,30.0,hybrid,3,0,1,70,True,7.991,7.991,2.664,7.991,7.991,28.9,131.6,56.9,0xd0000,throttled,0.697,6.314,68.345,3.846,104.265,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684903.304,12,0,320,240,30.0,hybrid,3,0,1,70,True,7.407,7.407,2.469,7.407,7.407,28.7,131.6,58.0,0xd0000,throttled,0.597,6.211,67.438,3.868,102.839,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684904.115,13,0,320,240,30.0,hybrid,3,0,1,70,True,7.794,7.794,1.949,7.794,7.794,29.4,131.4,58.0,0xd0000,throttled,0.67,6.656,56.299,3.835,83.376,0.0,0.6,0.0,0,240x320x3,0.0,0,0.0,
1781684905.127,14,0,320,240,30.0,hybrid,3,0,1,70,True,6.831,6.831,2.927,6.831,6.831,28.6,131.6,57.5,0xd0000,throttled,0.649,5.822,78.031,3.838,124.461,1539.5,0.681,0.143,0,240x320x3,0.0,0,0.0,
