timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781518173.351,1,0,640,480,10.0,opencv,3,0,1,70,True,10.129,10.129,0.0,10.129,10.129,36.9,52.7,3.689,28.622,11.344,15.337,59.382,4949.364,0.865,0.727,0,480x640x3,0,0.0,0.0,
1781518174.348,2,0,640,480,10.0,opencv,3,0,1,70,True,9.227,9.227,0.0,9.227,9.227,44.5,52.9,3.864,28.255,11.23,15.424,59.17,7780.65,1.043,1.0,0,480x640x3,0,0.0,0.0,
1781518175.352,3,0,640,480,10.0,opencv,3,0,1,70,True,9.196,9.196,0.0,9.196,9.196,46.2,52.9,3.929,28.254,11.391,15.4,59.375,16056.0,1.18,1.0,0,480x640x3,0,0.0,0.0,
1781518176.351,4,0,640,480,10.0,opencv,3,0,1,70,True,9.205,9.205,0.0,9.205,9.205,47.5,52.9,3.837,28.279,11.37,15.466,59.342,9586.65,0.94,0.9,0,480x640x3,0,0.0,0.0,
1781518177.352,5,0,640,480,10.0,opencv,3,0,1,70,True,9.2,9.2,0.0,9.2,9.2,47.8,52.8,3.718,28.982,11.313,15.47,59.927,8113.55,0.848,0.8,0,480x640x3,0,0.0,0.0,
1781518178.352,6,0,640,480,10.0,opencv,3,0,1,70,True,9.194,9.194,0.0,9.194,9.194,41.1,52.7,3.693,27.975,10.956,15.114,58.124,32717.25,1.307,0.8,0,480x640x3,0,0.0,0.0,
1781518179.355,7,0,640,480,10.0,opencv,3,0,1,70,True,9.17,9.17,0.0,9.17,9.17,41.6,52.9,4.117,28.929,10.863,14.537,58.837,29049.55,1.117,0.9,0,480x640x3,0,0.0,0.0,
1781518180.355,8,0,640,480,10.0,opencv,3,0,1,70,True,9.17,9.17,0.0,9.17,9.17,41.3,53.1,3.648,28.925,10.485,14.46,57.912,1783.1,0.65,0.8,0,480x640x3,0,0.0,0.0,
1781518181.271,9,0,640,480,10.0,opencv,3,0,1,70,True,8.946,8.946,0.0,8.946,8.946,49.9,53.1,3.742,37.933,10.491,14.458,67.016,2372.111,0.692,0.778,0,480x640x3,0,0.0,0.0,
1781518182.271,10,0,640,480,10.0,opencv,3,0,1,70,True,9.932,9.932,0.0,9.932,9.932,55.0,52.8,3.688,44.462,10.485,14.44,73.478,1704.9,0.644,0.7,0,480x640x3,0,0.0,0.0,
