timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,temp_c,throttled_raw,throttled_flags,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781519552.8,1,0,640,480,10.0,opencv,3,0,1,90,True,7.837,7.837,0.0,7.837,7.837,34.9,52.2,53.7,0x0,ok,53.55,39.695,10.559,15.114,119.329,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519553.873,2,0,640,480,10.0,opencv,3,0,1,90,True,8.225,8.225,0.0,8.225,8.225,40.3,52.4,54.2,0x0,ok,57.736,29.881,10.457,15.193,113.694,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519554.836,3,0,640,480,10.0,opencv,3,0,1,90,True,7.567,7.567,0.0,7.567,7.567,38.7,52.4,53.7,0x0,ok,59.943,27.56,10.524,15.163,113.59,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519555.796,4,0,640,480,10.0,opencv,3,0,1,90,True,7.866,7.866,0.0,7.866,7.866,32.8,51.6,53.7,0x0,ok,59.501,27.828,10.436,15.137,113.29,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519556.876,5,0,640,480,10.0,opencv,3,0,1,90,True,8.198,8.198,0.0,8.198,8.198,33.3,52.1,53.7,0x0,ok,60.4,27.71,10.469,15.089,114.149,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519557.836,6,0,640,480,10.0,opencv,3,0,1,90,True,7.564,7.564,0.0,7.564,7.564,32.8,52.1,53.7,0x0,ok,59.684,27.605,10.456,15.099,113.289,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519558.8,7,0,640,480,10.0,opencv,3,0,1,90,True,7.831,7.831,0.0,7.831,7.831,35.4,51.9,53.7,0x0,ok,57.293,28.485,10.934,15.82,112.989,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519559.881,8,0,640,480,10.0,opencv,3,0,1,90,True,8.165,8.165,0.0,8.165,8.165,38.1,52.5,54.2,0x0,ok,60.299,27.765,10.496,15.117,114.13,7.833,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519560.841,9,0,640,480,10.0,opencv,3,0,1,90,True,7.53,7.53,0.0,7.53,7.53,38.4,52.7,53.7,0x0,ok,59.352,27.738,10.506,15.075,113.111,1.812,0.6,0.0,0,480x640x3,0,0.0,0.0,
1781519561.802,10,0,640,480,10.0,opencv,3,0,1,90,True,7.825,7.825,0.0,7.825,7.825,38.4,52.7,53.7,0x0,ok,59.46,27.714,10.452,15.061,113.117,0.0,0.6,0.0,0,480x640x3,0,0.0,0.0,
