timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,temp_c,throttled_raw,throttled_flags,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781524023.129,1,1,640,480,10.0,opencv,3,0,1,70,True,10.119,10.119,0.0,10.119,10.119,35.8,52.6,56.4,0x80000,throttled,3.564,27.704,11.299,14.833,57.803,12788.5,1.116,1.0,0,480x640x3,0,0.0,0.0,
1781524024.045,2,1,640,480,10.0,opencv,3,0,1,70,True,8.974,8.974,0.0,8.974,8.974,49.3,52.8,56.4,0x80000,throttled,3.667,34.888,11.688,14.86,65.522,50243.111,1.642,1.0,0,480x640x3,0,0.0,0.0,
1781524025.057,3,1,640,480,10.0,opencv,3,0,1,70,True,9.848,9.848,0.0,9.848,9.848,53.2,52.8,56.4,0x80000,throttled,3.838,42.373,12.052,14.83,73.511,129773.95,2.0,1.0,0,480x640x3,0,0.0,0.0,
1781524026.069,4,1,640,480,10.0,opencv,3,0,1,70,True,9.737,9.737,0.0,9.737,9.737,55.9,52.8,56.9,0x80000,throttled,3.878,40.204,12.172,14.834,71.504,126643.75,1.947,1.0,0,480x640x3,0,0.0,0.0,
1781524027.067,5,1,640,480,10.0,opencv,3,0,1,70,True,9.758,9.758,0.0,9.758,9.758,47.4,52.8,56.9,0x80000,throttled,3.674,32.643,11.969,14.845,63.554,43666.8,1.731,1.0,0,480x640x3,0,0.0,0.0,
1781524028.07,6,1,640,480,10.0,opencv,3,0,1,70,True,9.727,9.727,0.0,9.727,9.727,40.9,52.6,56.9,0x80000,throttled,3.6,28.221,11.768,14.866,58.88,31178.8,1.491,1.0,0,480x640x3,0,0.0,0.0,
1781524029.069,7,1,640,480,10.0,opencv,3,0,1,70,True,9.729,9.729,0.0,9.729,9.729,45.4,52.7,56.9,0x80000,throttled,3.581,30.196,11.972,14.885,61.064,12415.25,1.218,1.0,0,480x640x3,0,0.0,0.0,
1781524030.069,8,1,640,480,10.0,opencv,3,0,1,70,True,9.733,9.733,0.0,9.733,9.733,45.6,52.7,56.4,0x80000,throttled,3.63,29.609,11.74,14.87,60.28,24018.25,1.437,1.0,0,480x640x3,0,0.0,0.0,
1781524031.071,9,1,640,480,10.0,opencv,3,0,1,70,True,9.717,9.717,0.0,9.717,9.717,45.9,52.6,56.9,0x80000,throttled,3.598,28.329,11.913,14.907,59.169,37707.75,1.435,1.0,0,480x640x3,0,0.0,0.0,
1781524032.071,10,1,640,480,10.0,opencv,3,0,1,70,True,9.713,9.713,0.0,9.713,9.713,46.4,52.4,56.9,0x80000,throttled,3.619,28.531,11.688,14.932,59.197,13460.1,1.219,1.0,0,480x640x3,0,0.0,0.0,
